NMiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,-0.5,0.5,0.5,22.315866508704566,0.016051928900615724,0.1345650824373451,False,0.1335650824373451,0.6324434280395508,3.447215274105105,0
1,-0.5,0.525,0.5,22.228170448323638,0.014973674464662091,0.12195536713005584,False,0.12095536713005584,7.794867277145386,3.6292794563451607,5
2,-0.5416666666666665,0.5416666666666665,0.46666666666666656,22.1622319408195,0.014251870594636687,0.11330459476295796,False,0.11230459476295795,13.422548055648804,3.7932427554025425,7
3,-0.5083333333333331,0.583333333333333,0.48333333333333317,22.00195780313041,0.012740168185388687,0.09700826513321881,False,0.0960082651332188,18.986450672149658,4.091330307950624,9
4,-0.5166666666666662,0.6166666666666663,0.4166666666666665,21.85874147651945,0.011602099495922742,0.08518957407492256,False,0.08418957407492256,24.442518949508667,4.362726808790873,11
5,-0.5666666666666658,0.6916666666666658,0.36666666666666625,21.4954431854269,0.009352598491572574,0.06320075614501353,False,0.062200756145013525,30.03209662437439,5.0349726888196455,13
6,-0.508333333333332,0.8083333333333318,0.3333333333333328,20.878236181598755,0.006842681106975683,0.04176458850879683,False,0.04076458850879683,35.67208766937256,5.883288373981719,15
7,-0.574999999999998,0.9499999999999975,0.14999999999999925,19.93846549105911,0.004567504170864412,0.024692950146223636,False,0.023692950146223635,41.5388298034668,6.898338967906074,17
8,-0.6166666666666636,1.2166666666666623,0.016666666666665275,17.948778429425133,0.0021961716345923563,0.009896202279354505,False,0.008896202279354504,47.08215045928955,7.660480399522743,19
9,-0.566666666666662,1.5916666666666601,-0.23333333333333517,15.384828997391047,0.0008695352908568182,0.00329028838967238,False,0.00229028838967238,52.826979637145996,6.2529043287347195,21
10,-0.6638888888888836,1.6972222222222149,-0.37777777777777993,15.069761834553121,0.0005959844865738724,0.002342797232748439,False,0.0013427972327484392,58.74042463302612,12.068494435366038,23
11,-0.6564814814814748,2.0537037037036936,-0.5462962962962992,14.80313980971257,0.002695595542010678,0.0008070658201955183,True,0.0,64.47008562088013,3.828424024843935,25
12,-0.6564814814814748,2.0537037037036936,-0.5462962962962992,14.80313980971257,0.002695595542010678,0.0008070658201955183,True,0.0,70.01258397102356,3.828424024843935,27
