h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,-0.00047294460188618357,-0.0005154307953366697,2.0965573142461835e-05,0.00020965573142461835,0.0002124309672524305
0.01,-0.0004918038843489967,-0.0004960349898700542,2.106290679648737e-06,0.00021062906796487368,0.00021155527605287716
0.001,-0.0004936979959401242,-0.0004941224112305917,2.121790885212249e-07,0.0002121790885212249,0.0002122076452337751
0.0001,-0.0004938889545277334,-0.0004939313982296198,2.1220500912022544e-08,0.00021220500912022544,0.00021221850943220488
1e-05,-0.0004939080529359216,-0.0004939122970787366,2.1220927237664e-09,0.00021220927237663997,0.0002122071407484327
1e-06,-0.0004939099628890062,-0.0004939234721396133,2.121396391885355e-10,0.0002121396391885355,0.006754625303528883
1e-07,-0.0004939232386268486,-0.0004939101962880841,-1.306359820318903e-08,-0.1306359820318903,-0.06521169382267544
1e-08,-0.0004939232879527253,-0.0004939101771460628,-1.3112924079905497e-08,-1.3112924079905497,-0.6555403331276466
1e-09,-0.0004939101748012717,-0.0004939101752418082,2.2737367544323206e-13,0.00022737367544323203,0.00022026824808563103
1e-10,-0.0004939101750144346,-0.0004939101750570671,1.4210854715202004e-14,0.00014210854715202004,0.00021316282072803006
1e-11,-0.0004939101750286454,-0.000493923259914709,0.0,0.0,654.2443031776202
1e-12,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-13,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-14,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-15,-0.0004939101750428563,-0.0004939232599004981,-1.4210854715202004e-14,-14.210854715202002,6542428.820921486
1e-16,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-17,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-18,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-19,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-20,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-21,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-22,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
