h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.08838253864138142,0.06652777814699506,0.0028576557195037905,0.028576557195037905,0.10927380247193176
0.01,0.0870051657993609,0.08378607105260386,0.00148028287748328,0.148028287748328,0.16095473733785254
0.001,0.08568855662829582,0.08535981299116605,0.0001636737064181909,0.1636737064181909,0.16437181856488597
0.0001,0.08554130136272778,0.08550843683914758,1.6418440850152205e-05,0.16418440850152205,0.16432261790100267
1e-05,0.08552651400441773,0.08552324604747182,1.6310825401016915e-06,0.16310825401016915,0.16339784729563211
1e-06,0.08552504813507314,0.08552472343827501,1.6521319551321412e-07,0.16521319551321412,0.16234839906453802
1e-07,0.08552489885233357,0.08552486698815205,1.5930455940504906e-08,0.15930455940504906,0.15932090757786455
1e-08,0.0855248845150833,0.0855248813286876,1.59320567849619e-09,0.159320567849619,0.15931978514238665
1e-09,0.08552488308121392,0.08552488276258988,1.5933629415876283e-10,0.15933629415876283,0.15931202190788696
1e-10,0.08552488293782116,0.08552488290596114,1.5943538156371062e-11,0.15943538156371062,0.15930014252152347
1e-11,0.08552488292347041,0.08552488292031467,1.5927814622784808e-12,0.15927814622784808,0.15778697792789842
1e-12,0.08552488292203678,0.08552488594749409,1.591504705800162e-13,0.1591504705800162,-1512.7286576155363
1e-13,0.0855248829219103,0.08552488292187906,3.266831249959523e-14,0.3266831249959523,0.1561945017769517
1e-14,0.08552489030983033,0.08552488292187763,7.387952707937906e-09,738795.2707937906,369397.6353968953
1e-15,0.08552488292187621,0.08552488292187337,-1.4155343563970746e-15,-1.4155343563970746,1.4224732503009818
1e-16,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-17,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-18,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-19,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-20,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-21,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-22,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
