NMiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.5,0.5,0.5,22.327610901077772,0.016367306774645905,0.15499851923308938,False,0.15399851923308938,0.6045293807983398,2.751550753479538,0
1,0.5,0.525,0.5,22.25715963064694,0.015490088267618874,0.14232830843047162,False,0.14132830843047162,7.029778957366943,2.8899579772684403,5
2,0.4750000000000001,0.5416666666666665,0.46666666666666656,22.207408287397584,0.01491476592445824,0.13404279921378115,False,0.13304279921378115,11.654868125915527,3.0005615977355578,7
3,0.4500000000000002,0.583333333333333,0.48333333333333317,22.076904721006528,0.013572135923433657,0.11594289109156275,False,0.11494289109156275,16.533071517944336,3.2614482451153672,9
4,0.4500000000000002,0.583333333333333,0.48333333333333317,22.076904721006528,0.013572135923433657,0.11594289109156275,False,0.11494289109156275,20.90453863143921,3.2614482451153672,10
5,0.40000000000000036,0.6583333333333325,0.39999999999999947,21.808800892300187,0.011379096135872275,0.0892619360475192,False,0.0882619360475192,25.720750331878662,3.763486719064429,12
6,0.37500000000000044,0.7416666666666654,0.39999999999999947,21.46869916942369,0.009337562436346439,0.06723187524901109,False,0.06623187524901109,30.610094785690308,4.3266290686132916,14
7,0.37500000000000044,0.7416666666666654,0.39999999999999947,21.46869916942369,0.009337562436346439,0.06723187524901109,False,0.06623187524901109,35.12229323387146,4.3266290686132916,15
8,0.21666666666666767,0.9722222222222197,0.2388888888888876,20.23179641798197,0.005221903605181743,0.030396421704746213,False,0.029396421704746212,39.87833881378174,5.934028466288254,17
9,0.13333333333333441,1.1361111111111075,0.24444444444444313,19.14196830157216,0.00342017986293957,0.01754885485086566,False,0.016548854850865657,45.14662051200867,6.747836909252187,19
10,0.041666666666668295,1.3722222222222173,0.07222222222222041,17.43925392648966,0.0018740353257420143,0.008303776993961787,False,0.007303776993961787,50.20493817329407,7.05106164390463,21
11,-0.3583333333333305,1.9972222222222138,-0.2444444444444478,13.194331974127326,0.000372253551687897,0.0012307373306262859,False,0.00023073733062628585,54.959174394607544,5.013471784240813,23
12,-0.6166666666666631,2.5611111111110993,-0.40555555555555944,12.074895700803403,0.0003036145213341196,0.00031157479477328387,True,0.0,59.80252742767334,2.357421658528781,25
13,-0.6166666666666631,2.5611111111110993,-0.40555555555555944,12.074895700803403,0.0003036145213341196,0.00031157479477328387,True,0.0,64.92486906051636,2.357421658528781,27
14,-0.6166666666666631,2.5611111111110993,-0.40555555555555944,12.074895700803403,0.0003036145213341196,0.00031157479477328387,True,0.0,69.87089228630066,2.357421658528781,29
15,-0.6166666666666631,2.5611111111110993,-0.40555555555555944,12.074895700803403,0.0003036145213341196,0.00031157479477328387,True,0.0,74.76730465888977,2.357421658528781,31
16,-0.6166666666666631,2.5611111111110993,-0.40555555555555944,12.074895700803403,0.0003036145213341196,0.00031157479477328387,True,0.0,79.57600402832031,2.357421658528781,33
17,-0.6907407407407371,2.705401234567889,-0.4200617283950657,12.06457210447179,0.029129384023555936,0.00032155144561107907,True,0.0,84.3018045425415,30.668875620386217,35
18,-0.6907407407407371,2.705401234567889,-0.4200617283950657,12.06457210447179,0.029129384023555936,0.00032155144561107907,True,0.0,89.39719343185425,30.668875620386217,37
19,-0.6602366255143997,2.695533264746215,-0.41370027434842643,12.026394403314788,0.013640736003811417,0.00028548746765377775,True,0.0,94.11307001113892,28.19038471776748,39
20,-0.6297582304526714,2.612444272976669,-0.33980624142661564,11.943437892846173,0.0001869246843826646,0.00026320543680735664,True,0.0,98.97453045845032,3.8807423458226213,41
21,-0.6297582304526714,2.612444272976669,-0.33980624142661564,11.943437892846173,0.0001869246843826646,0.00026320543680735664,True,0.0,104.4245834350586,3.8807423458226213,43
22,-0.49469307270232843,2.399604195244617,-0.26755544124371644,11.658173200081807,0.0001481211036705391,0.0004246636252359659,True,0.0,109.12439036369324,8.53924789530723,45
23,-0.49469307270232843,2.399604195244617,-0.26755544124371644,11.658173200081807,0.0001481211036705391,0.0004246636252359659,True,0.0,113.38207650184631,8.53924789530723,46
24,-0.48357719859777126,2.3816821622720026,-0.20228369659097045,11.52947960039481,0.0001512240350174369,0.00043896351982841697,True,0.0,118.00258445739746,6.6258888929512665,48
25,-0.5579548341208115,2.488789606936601,-0.28609671628647765,10.393355647717463,0.00012159784820128981,0.00033540857002190005,True,0.0,122.60975933074951,21.15284570866299,50
26,-0.5758570212874017,2.6418390341072557,-0.3012909829125002,10.120251360520008,9.175534316574115e-05,0.0002423482879488903,True,0.0,127.24212741851807,23.911659217195748,52
27,-0.5758570212874017,2.6418390341072557,-0.3012909829125002,10.120251360520008,9.175534316574115e-05,0.0002423482879488903,True,0.0,131.71604418754578,23.911659217195748,53
28,-0.5758570212874017,2.6418390341072557,-0.3012909829125002,10.120251360520008,9.175534316574115e-05,0.0002423482879488903,True,0.0,136.7349443435669,23.911659217195748,55
29,-0.5758570212874017,2.6418390341072557,-0.3012909829125002,10.120251360520008,9.175534316574115e-05,0.0002423482879488903,True,0.0,141.56537628173828,23.911659217195748,57
30,-0.593752487341018,2.803091279770464,-0.25013059422401007,9.947792320655418,6.339913795550074e-05,0.0001687981942429806,True,0.0,146.2004578113556,1.2063549861410479,59
31,-0.6185450325153647,2.8387937613253307,-0.27806826745584584,9.901781770427961,9.938270423972343e-05,0.0001618563948191376,True,0.0,150.8862693309784,24.78791436878979,61
32,-0.6085367307941951,2.9138797098360776,-0.2941010737786549,9.822866096907859,0.00010728829816924587,0.00014205599031624772,True,0.0,156.06531596183777,25.43139949455287,63
