SLSQPiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,5.0,5.0,5.0,8.204830216249974,6.384964001212342e-06,1.3336353550386093e-05,True,0.0,0.6095743179321289,1.4336929647526975,0
1,4.565865397453308,6.360861659049988,5.07343864440918,6.618193597497277,2.1923692713103038e-07,3.6444139728253333e-07,True,0.0,19.348509788513184,0.8635171265456986,26
2,3.7285882649177324,8.366679429391308,5.201483128052659,5.215426958677423,2.490341265856162e-10,-2.732665205229523e-10,True,0.0,34.51506328582764,0.48698707946440173,45
3,2.5261916619223377,10.88395605116917,5.363478747280384,4.185687659551787,7.083222897113251e-13,6.707967514785196e-13,True,0.0,49.50054955482483,0.28837253083719566,64
4,0.7778499397776837,14.313290963595094,5.587050109993873,3.3655265524442264,5.37714317520285e-12,6.6633365491952645e-12,True,0.0,64.96231651306152,0.17121447756492314,83
5,-1.5782606551509384,18.801745311730997,5.897799290104565,2.729294475970817,3.961830863394471e-12,4.9471537977296975e-12,True,0.0,80.1695020198822,0.12492224772044166,102
6,-6.201018066565318,27.438380552433607,6.508598842889335,5.708315660904406,0.4455775442560191,-1.346826139503321e-08,False,0.34557754425601905,95.81157159805298,6.820272865452874,121
7,-3.769934172222113,22.824265420574438,6.359556359915625,1.9037108643112213,0.11737538168586507,3.08486569622346e-12,False,0.01737538168586507,113.02790427207947,2.7146990919099023,144
8,-3.6413420810242885,22.653264367934778,6.440069977058978,1.9597725702211262,0.10062242191364384,2.7379210010280985e-12,False,0.0006224219136438391,128.26184558868408,1.180416408252647,163
9,-3.7520124748780144,22.97726629753715,6.6137342398314125,1.9558977211375224,0.10000737222437774,2.2071233729548112e-12,False,7.372224377730219e-06,143.6281566619873,1.0909471864560176,182
10,-4.331236742475734,24.628351984621037,7.466816476322803,1.926237909250366,0.09985756386048274,7.907008381380365e-13,True,0.0,158.9454951286316,0.3174358522052862,201
11,-7.054606828982126,32.360505065556964,11.449743788040337,1.8093618565603573,0.09748267763408933,1.6764367671839864e-14,True,0.0,174.22081637382507,0.1997424218683804,220
12,-16.760020230251758,59.780324870813146,25.42113946314673,1.5087896016858986,0.08485315383878196,-5.773159728050814e-15,True,0.0,189.41224241256714,0.04436281128056623,239
13,-39.590192558574444,124.79047451631332,59.088957839623305,0.4067716134320054,0.053889158622085605,1.1102230246251565e-15,True,0.0,205.386714220047,0.1782718588045526,258
14,-45.559405460539274,141.8545451522731,67.99405037129299,0.37694251131176004,0.048786576026264475,2.55351295663786e-15,True,0.0,220.41215991973877,0.02404152994197584,277
15,-65.89429479564978,200.0,98.35705922315557,0.2965945071594638,0.0370402449868905,-4.440892098500626e-16,True,0.0,235.84701204299927,0.019882034428866237,296
16,-65.88372531324684,199.99999999999997,98.39029114798038,0.295971126640262,0.03690781316978349,-1.1102230246251565e-15,True,0.0,251.23339247703552,0.01993265302096962,315
17,-65.83085143669128,200.0,98.55671484128557,0.2928264797062977,0.036251622860763805,7.771561172376096e-16,True,0.0,266.2256009578705,0.020188862405596274,334
18,-65.56333988596461,199.99999999999997,99.39964158543977,0.2763189022389738,0.033095975513384335,-1.7763568394002505e-15,True,0.0,281.46322417259216,0.0216381174081802,353
19,-64.14739213294291,200.0,103.86611722095725,0.15918092624113234,0.02012260269419444,1.4432899320127035e-15,True,0.0,296.4283366203308,0.030794042726920965,372
20,108.08471700696012,-190.7260412881601,12.191509113344779,inf,inf,inf,False,inf,311.5848488807678,0.0,391
21,-62.246433865656,200.0,109.86967097994969,0.0714694090784233,0.009327771454676208,-1.7763568394002505e-15,True,0.0,332.1511857509613,0.0012080716136914638,418
22,-62.221701438484125,200.0,109.94648235153761,0.07138866467265173,0.009223047000476143,-1.7763568394002505e-15,True,0.0,346.88434410095215,0.0012062248684438196,437
23,-62.10367782484244,199.99999999999997,110.3130291676045,0.07101815906285788,0.008731664457054962,-1.7763568394002505e-15,True,0.0,359.1166706085205,0.0011981507490413511,456
24,-61.506874318363494,200.0,112.16653057737962,0.06915380704335375,0.006468949357323106,-1.7763568394002505e-15,True,0.0,372.093670129776,0.0011565817920142125,475
25,-58.645484313260134,200.0,121.05322215373369,0.06103509429512573,0.0008474774655379308,4.551914400963142e-15,True,0.0,384.3933365345001,0.0009797366597380777,494
26,-46.35718416501973,200.0,159.21750826425668,0.037716900331041026,0.0022196122551775247,1.689683060135394e-09,True,0.0,396.95548844337463,0.00046853161933063463,513
27,-23.97663288243715,178.90560986236983,194.80021688810407,0.02508977392336649,0.003314160639991532,1.7457593948222438e-07,True,0.0,409.27907514572144,0.00022893660190124226,532
28,-6.882764040915184,149.12921204712458,200.0,0.022241204700768794,0.0040555517448220444,-2.1463791610720762e-07,True,0.0,421.5937514305115,0.00017668605294061406,551
29,46.10585611308991,46.80457867588879,200.0,4.856634813634038,0.006205253492584327,8.81753735535451e-05,True,0.0,433.9246292114258,0.07784864707699038,570
30,173.9132115383026,-200.0,200.0,inf,inf,inf,False,inf,448.0935866832733,0.0,593
31,9.298506463862303,117.88211472705096,200.0,1.7931592758709314,0.004830683439495131,-8.407942838628557e-06,True,0.0,464.22176480293274,0.052472698323659826,620
32,62.28248181060769,10.669523242712827,192.12439728709788,13.574710080200692,0.000570114849660364,-0.00028681343137204607,True,0.0,478.39892768859863,0.5649783211797443,643
33,166.14346066938302,-199.99999999999991,175.86914465235188,inf,inf,inf,False,inf,494.4624607563019,0.0,670
34,69.42954059284058,-0.3285409071788763,196.6328992338041,6.223940351911331,0.08615274469246842,0.08589988933724524,False,0.08489988933724524,510.59348344802856,4.851546782347359,697
35,173.91361976220233,-200.0,200.0,inf,inf,inf,False,inf,527.2759215831757,0.0,724
36,119.69384277135983,-100.73569910303186,191.25544005653975,inf,inf,inf,False,inf,545.0532276630402,0.0,755
37,4.182633518078516,127.54341021500923,199.64975498202085,0.021104884218910755,0.004584108652365405,-1.0715649370496294e-05,True,0.0,556.2019596099854,3.2121647080849334,771
