SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.26,0.0058,3.297,0.73,-1.417,8.234,2.245,7.51036645160077,0.08776825488984848,0.06711249372794725,-2.6954010223789737e-05,20.229231155286016,False,0.06611249372794725,2.397671937942505,165.2443512028674,0
1,2.6802567491024067,0.002159707482206147,9.071437138701434,-1.8776857594259133,3.1347526514938213,8.231814586447577,2.247622598786856,inf,inf,inf,inf,inf,False,inf,211.87908959388733,0.0,75
2,2.9641067124161604,-0.0021262335588271165,10.0,-2.522621527927112,4.377501599983055,8.595499302276918,2.437091380323247,29.99479810360483,1.0571044051171437,199.98507878730516,-10.530875034903254,60.29894283575853,False,199.98407878730515,404.6336770057678,1.5809902859228586,144
3,0.8811105253885636,0.005879796663761987,5.604456928297614,0.14619434961411293,0.3142011600725083,8.089974352126841,2.142577121990942,inf,inf,inf,inf,inf,False,inf,612.7880389690399,0.0,220
4,1.132106788462797,0.008561116460013375,6.843505974358592,-0.9669547459614758,1.9097399435800215,8.203633422937052,2.093915544315597,inf,inf,inf,inf,inf,False,inf,805.3597910404205,0.0,289
5,1.0672618699427492,0.008403206679749482,5.498752078664047,0.262826032400864,0.8534147337197331,7.755298313239285,1.8846198119857558,inf,inf,inf,inf,inf,False,inf,998.4374597072601,inf,358
6,0.6484576900985455,0.00797456483896859,5.022429857386824,-0.2572073295626535,-0.12006696198203104,8.431449673952573,2.3275464570527635,5.814386042814133,0.09257075929234213,0.109257222361407,-6.313211730457624e-05,20.324409704218063,False,0.108257222361407,1191.4958262443542,264.32114102227877,427
7,0.736010626981047,0.007074380137062059,4.722437784956948,0.40413551931683944,0.006792330939766306,7.979196384415336,1.9905562772695358,5.682396074362485,0.08985148723008912,0.011601475058014898,-0.00012340760474316426,20.346991812669163,False,0.010601475058014898,1384.1306035518646,245.13701748868064,496
8,0.7483023903405104,0.007688861238691414,4.979044174067623,0.26364791089882,0.32457836050957745,7.962229043735291,1.9368793945642886,5.465401597133039,0.08865452653638461,0.0031216403898781664,-0.00013926760398419447,20.33247235030805,False,0.0021216403898781664,1577.662248134613,246.98172331345353,565
9,0.7445363934862896,0.007808250200990677,5.006798066291595,0.28444051125233244,0.31604535803093503,7.954181740316563,1.9367005578034986,5.454681486966161,0.08876957224403738,0.0006960072296209319,-0.00013784355389745429,20.331717089047075,True,0.0,1754.680153131485,246.86498306668602,627
10,0.733075704397575,0.007681228473039811,5.213049138073428,0.4321143386169092,0.39890019534705695,7.872786101561427,1.8600438372259116,5.408312776779918,0.089366009708546,0.0019351871836619239,-0.0001609272927041161,20.327062474745087,False,0.0009351871836619239,1932.4054708480835,247.93956043541635,689
11,0.8511915480451213,0.008225350966006913,9.999999031985624,-0.43403308993732104,9.88188929944634,5.775670745165549,-1.7945930605862588,inf,inf,inf,inf,inf,False,inf,2109.006392478943,0.0,751
12,0.8048999365794223,0.00853249878333283,5.431567274437725,-1.3998566202423508,0.9129538767381078,7.851873194319638,3.269646308909577,inf,inf,inf,inf,inf,False,inf,2445.7486741542816,0.0,883
13,0.8714171557083578,0.009802172228273523,7.75587217084714,-4.28022363404176,2.092934597578328,8.738897181370238,4.740010751150926,inf,inf,inf,inf,inf,False,inf,2783.0513322353363,0.0,1015
14,0.7014653723492695,0.008576953264554167,5.303013480666931,0.540534961780009,0.3879112976236464,8.052502710272336,1.7617900830646227,5.409002275676298,0.08955931193756386,-0.013852787144443823,-0.00022061647416649066,20.315916708764313,False,0.012852787144443822,3123.6086270809174,251.16753102427262,1147
15,0.6995514238370119,0.008053015054855134,5.45828842065511,0.32617159802314216,0.4717566578597773,8.158462641216945,1.8846447586232176,5.500337941657412,0.08767557438023575,-0.002948194055733211,-0.000161309415997124,20.3089034276901,False,0.001948194055733211,3350.904144048691,248.30336409406195,1230
16,0.7839301403460325,0.007802741019715338,4.790385241823825,0.6897085639971882,0.2587645868085653,7.398045785945545,1.7607482842211213,7.611167259111173,0.09322363183933462,-0.002802212932550674,-0.00022755339303870414,20.370603535669414,False,0.001802212932550674,3545.959445476532,40.12112518772063,1299
17,0.7258097363624584,0.00783249902462544,5.249521627291196,0.4347042463266649,0.40631293806224184,7.923399503444278,1.8498617423176948,5.400206725776641,0.08920450764755516,-0.000618587232636969,-0.00016690842262434558,20.323443244427295,True,0.0,3630.3876252174377,248.6237083329142,1320
