NMiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.5,0.5,-0.5,22.30671610256447,0.016139360968407904,0.15451090393440226,False,0.15351090393440225,0.5653727054595947,2.75897451031805,0
1,0.5,0.525,-0.5,22.236755417259545,0.015269723512690821,0.14198251285048213,False,0.14098251285048213,7.151749610900879,2.8943426507583805,5
2,0.4750000000000001,0.5416666666666665,-0.5416666666666665,22.186602359161807,0.014707484703869825,0.13380165232037233,False,0.13280165232037233,11.936030864715576,3.010556901974222,7
3,0.4500000000000002,0.583333333333333,-0.5083333333333331,22.05613980841733,0.013401708872874799,0.11593170228690364,False,0.11493170228690364,16.90487003326416,3.263960459669332,9
4,0.4500000000000002,0.583333333333333,-0.5083333333333331,22.05613980841733,0.013401708872874799,0.11593170228690364,False,0.11493170228690364,21.43545699119568,3.263960459669332,10
5,0.40000000000000036,0.6583333333333325,-0.566666666666666,21.78905583668927,0.011269469993509296,0.08957469173755905,False,0.08857469173755905,26.51495385169983,3.7473326222974914,12
6,0.37500000000000044,0.7416666666666654,-0.5083333333333324,21.452409750622742,0.00928359810221422,0.0677520705633069,False,0.0667520705633069,31.39569926261902,4.287328302760482,14
7,0.37500000000000044,0.7416666666666654,-0.5083333333333324,21.452409750622742,0.00928359810221422,0.0677520705633069,False,0.0667520705633069,35.68469548225403,4.287328302760482,15
8,0.21666666666666767,0.9722222222222197,-0.5972222222222201,20.236158991857327,0.0052590175560245315,0.031099493106152787,False,0.030099493106152786,40.51432681083679,5.8152717351836944,17
9,0.13333333333333441,1.1361111111111075,-0.5111111111111084,19.169247487530182,0.0034796733420400785,0.018150344060790635,False,0.017150344060790634,45.51888346672058,6.5974481294538885,19
10,0.041666666666668295,1.3722222222222173,-0.5388888888888852,17.49446858405123,0.0019287457005737118,0.008679150052288254,False,0.007679150052288254,50.361273765563965,6.915529456260499,21
