NMiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.04,0.01,2.0,0.6,0.25,0.3,0.08,10.260548693829602,0.14587362566487058,-0.002956414558937581,0.00033652147243046215,20.886046306570076,False,0.045873625664870576,3.205709934234619,294138.60515708197,0
1,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,69.16821622848511,267350.9468948132,10
2,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,111.48174715042114,267350.9468948132,11
3,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,153.33757400512695,267350.9468948132,12
4,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,195.8797378540039,267350.9468948132,13
5,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,237.3101634979248,267350.9468948132,14
6,0.040857142857142884,0.008999999999999998,2.0428571428571427,0.612857142857143,0.25535714285714284,0.3064285714285715,0.08171428571428577,10.266152736033034,0.10690864362205268,-0.005014373978085018,0.00010376317894156273,20.825026969570775,False,0.006908643622052679,280.2832489013672,267350.9468948132,15
7,0.044302070444409175,0.00849427534445681,1.9722463793633107,0.5842257417038339,0.256646374263396,0.3175716507820481,0.0835662400141827,9.958155739277558,0.08252615474780169,-0.007390076820982472,0.00016584907080385847,20.806952329194885,False,0.006390076820982472,326.17954754829407,66.53394669740514,17
8,0.044302070444409175,0.00849427534445681,1.9722463793633107,0.5842257417038339,0.256646374263396,0.3175716507820481,0.0835662400141827,9.958155739277558,0.08252615474780169,-0.007390076820982472,0.00016584907080385847,20.806952329194885,False,0.006390076820982472,368.1966128349304,66.53394669740514,18
9,0.044302070444409175,0.00849427534445681,1.9722463793633107,0.5842257417038339,0.256646374263396,0.3175716507820481,0.0835662400141827,9.958155739277558,0.08252615474780169,-0.007390076820982472,0.00016584907080385847,20.806952329194885,False,0.006390076820982472,409.8985366821289,66.53394669740514,19
10,0.04429185315276958,0.007616218743469447,2.097641387334434,0.5978841963601564,0.2447667397223886,0.31638119947280796,0.0817245234820557,9.13326206738427,0.04978212431992055,-0.008206967745238103,-0.00020547456267649977,20.776568086280935,False,0.007206967745238103,456.39370131492615,112.96614041282282,21
11,0.04429185315276958,0.007616218743469447,2.097641387334434,0.5978841963601564,0.2447667397223886,0.31638119947280796,0.0817245234820557,9.13326206738427,0.04978212431992055,-0.008206967745238103,-0.00020547456267649977,20.776568086280935,False,0.007206967745238103,498.57616567611694,112.96614041282282,22
