SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.1211,0.0058,2.176,0.6,0.1,1.417,2.41,8.2190963603882,0.0549835931885737,0.05786345253055458,-8.85144879703148e-06,20.24444250518558,False,0.05686345253055458,2.4101428985595703,187.74457499401785,0
1,-0.23931151737231304,0.027924316213648853,3.5132121986784295,-10.0,-7.488762867311943,-9.20516451828602,-9.999998504370094,inf,inf,inf,inf,inf,False,inf,211.1262331008911,0.0,75
2,0.30603204471597895,-0.05563839316130902,-10.0,-9.997839934076387,-9.998453073025892,-9.997835597030209,-9.997469767248035,inf,inf,inf,inf,inf,False,inf,421.0858516693115,0.0,151
3,1.5941630389077863,-0.017605132847543038,-10.0,-9.998512800427612,10.0,10.0,5.756425095475946,inf,inf,inf,inf,inf,False,inf,761.2444484233856,0.0,283
4,-1.0293063996216782,0.013241422818718426,-7.386628546722729,-10.0,10.0,10.0,9.999992813999514,inf,inf,inf,inf,inf,False,inf,1095.3352863788605,0.0,415
5,0.18669721300552586,0.008356390861735606,8.44316969370959,-10.0,8.70637961161718,7.843293390202264,-7.958385727464157,inf,inf,inf,inf,inf,False,inf,1311.738588809967,inf,498
6,0.11714888267254657,0.00788212447970393,2.4180464376319493,2.134009043583158,0.9561497531163533,2.336840050294774,0.20877630813656456,6.926381254225029,0.0750185752261829,0.005303005197490052,-0.013563734479550504,20.195467036153502,False,0.012563734479550503,1591.6937329769135,45.84640949443027,609
7,0.11659098556750458,0.00818508922196806,2.32507894639385,2.3296872007233422,0.2532410615922982,2.827285319718219,0.32145416160835255,6.339206289420092,0.08157748401275701,-0.0006571760236226964,-0.006189530995467152,20.17143931657896,False,0.005189530995467152,1762.3739597797394,50.609673851479755,671
8,0.11486101615609985,0.009468321292577134,1.9486716133597974,4.624143588123987,-2.8638167924291995,6.037930887735929,-0.4549084389386287,inf,inf,inf,inf,inf,False,inf,1932.6440846920013,0.0,733
9,0.1141833716139234,0.008137668702333596,1.6894868035494581,4.080143236340119,-3.9957352370778634,5.848284870097713,0.7897366632822422,inf,inf,inf,inf,inf,False,inf,2117.161402463913,0.0,802
10,0.10820057887399485,0.008467718237720558,0.13309663312547837,9.107696925555054,-10.0,10.0,1.316078741498765,inf,inf,inf,inf,inf,False,inf,2301.2227098941803,0.0,871
11,0.1903602134062019,0.008270647565288801,2.4205003950186503,3.6159992026241357,-1.0938528376393517,4.0578044258767765,0.8620260909497344,5.41174407656526,0.0975486232217882,0.0023378283041921577,-0.00033139589102404443,20.272570450165457,False,0.0013378283041921577,2485.208382129669,145.29366813795062,940
12,0.11582436835641458,0.008342170882364115,1.8606143555099761,3.6577635586134205,-1.6009741649354992,4.071874440321366,0.5531338372316494,5.6397592457687145,0.12104176396897064,0.0003458622819039192,-0.0034104821056857304,20.426713703293075,False,0.02104176396897063,2700.1145765781403,99.91691962201409,1023
13,0.12478747692865841,0.008473967203780389,1.9799372391669567,3.9715903820638356,-1.5500890332617416,4.06717797655664,0.6337139901251293,5.328312984095169,0.1083042195122512,-0.001040415395891614,-0.0017495886975034125,20.296757045410953,False,0.008304219512251201,2884.316695690155,88.75631450044972,1092
14,0.12756099125351883,0.00840770667433354,1.878758717432231,4.1372274062439445,-1.3966377085862547,4.069350192719887,0.6977930337683957,5.241463662110607,0.10221054849537896,0.0007348178573352016,-0.0011463149024777408,20.26618605991034,False,0.002210548495378953,3069.9302928447723,90.18834220362812,1161
15,0.1774801436675007,0.008865351572053863,-0.16599620395104409,7.439918691734402,1.4661419967133094,4.190959716543298,0.7635650316286915,5.232207335912803,0.09199793233456781,-0.004196155218465947,-0.0007619407677488255,20.219084553313206,False,0.0031961552184659467,3254.4146053791046,136.19251202180908,1230
16,0.13529987119705048,0.008458441840190312,1.5380727842851618,4.602797035474678,-0.8797232310220684,4.0924179039400705,0.6737546165656096,4.946468618568554,0.09058351843512746,0.000792342050843331,-0.0012580154801540289,20.202401824448597,False,0.00025801548015402884,3455.9853847026825,97.94266608307944,1306
17,0.13792499701603816,0.00846226972196679,1.4789766755809692,4.779925869438245,-0.8115757192031147,3.8969823478078287,0.8571142208866308,4.926087943225129,0.09016330232349361,0.0008791335783371323,-0.0003294803724180895,20.217100309942715,True,0.0,3626.7752265930176,116.59767633657843,1368
18,0.17860749009962262,0.008733842794044195,0.6268619369595728,7.075793332090616,0.3147343968391675,2.2322968699486525,1.1687947809889747,5.055394571343574,0.09218938437342948,-0.00267857317795972,8.505767468136582e-08,20.421983415628674,False,0.00167857317795972,3796.1878848075867,137.6263497969575,1430
19,0.3600475642843356,0.009759188158944379,-3.2092619188651628,10.0,5.281331033586982,-5.584697062192256,3.9840242773365016,24.12411363734029,0.1259334146764428,0.1658073882899629,1.8078312419196934,32.285096857517544,False,10.285096857517544,3996.439162492752,64.50689614071159,1506
20,0.3697980295867877,0.008501080191791284,2.4990426360228053,5.225614429838642,0.20342056461978164,3.7359974022257325,0.9080729585202172,4.629477479377785,0.09156666083645018,-0.0011295129613984045,-0.00020725825185152758,20.31211731261684,False,0.0001295129613984045,4212.282724142075,240.49715477294103,1589
21,1.0850397039565305,0.0081866961936231,3.510385867699894,4.99115144931964,0.5829546472199625,3.513912496833343,1.5592974542965696,inf,inf,inf,inf,inf,False,inf,4381.988833904266,inf,1651
22,0.6354145641068641,0.0083357693511298,2.5014747121403573,5.271587222598906,0.4844673385892198,3.3900481965984866,0.6770589297942304,inf,inf,inf,inf,inf,False,inf,4582.703294754028,inf,1727
23,0.8787308222621831,0.008144091013337478,3.312167479455627,5.066375920220781,1.0420834872825118,2.740669427473568,1.2216153348989045,29.9707795816255,0.12933576269713476,0.1969758400807109,-0.009237811585123268,20.60130159495863,False,0.1959758400807109,4768.6623911857605,0.02980051468426504,1796
24,0.6319477889768037,0.008284113034219937,2.9936823306521094,5.178406322039981,0.7291859562935272,3.0743305776803656,0.9513823564942233,6.622842250939233,0.10133810382863093,-0.003860235421171865,-9.847518879624317e-05,20.517297714184544,False,0.0028602354211718648,4974.8407073020935,225.20517599995617,1872
25,0.24930231501497938,0.008540107254551836,3.1946550689676707,5.47784106670372,0.7786735424892852,2.362331391473387,0.3618026107896952,4.794075151413655,0.07714615004089882,-0.0021864336964938502,-0.002826266499361907,20.299678361919913,False,0.0018262664993619069,5159.90426158905,189.32590510262645,1941
