SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
11,-0.6340255505251016,-0.04544288897266966,-9.999999648514274,0.8037432135236938,-0.6243928181359923,4.277463068886711,1.7963292575175476,inf,inf,inf,inf,inf,False,inf,746.5609657764435,0.0,1052
12,-0.6366620064586214,-0.0456725222980176,-9.9999907832984,0.80374327815115,-0.6684631944030586,4.305741052319618,1.80649947668396,inf,inf,inf,inf,inf,False,inf,826.532154083252,0.0,1163
13,-0.0011063037348000224,0.004667739036535258,-0.9792881139551932,0.8037173592123936,1.8851747643451413,0.36225109509079656,0.20001084710733225,inf,inf,inf,inf,inf,False,inf,903.9943726062775,0.0,1274
14,10.0,10.0,10.0,0.7236194293776314,-10.0,10.0,-10.0,inf,inf,inf,inf,inf,False,inf,977.1770906448364,0.0,1378
15,-0.6196573711678137,0.005274801003217663,1.5511015694192558,4.245184976496808,0.3768067039154201,0.8575797239441776,-3.293825556086557,inf,inf,inf,inf,inf,False,inf,1054.8365535736084,0.0,1489
16,-0.01705327003012251,0.006748354662555306,1.4341044362738498,1.2735489915495077,0.4083216351797262,-0.8798185517927457,-0.36070679973645126,inf,inf,inf,inf,inf,False,inf,1119.7775778770447,inf,1579
17,0.06256517272629124,0.009304516665448063,2.068113191101507,0.9184819504290748,0.018282055147661236,0.5666817672103293,0.0387832097370175,11.728778098251576,0.09880165630033746,0.005539548821175799,-0.09195174177435916,20.572854575943776,False,0.09095174177435916,1184.5885701179504,278.7311757137858,1669
18,-0.10969335864000385,0.02148581954075445,5.510697175871034,1.0202569117438633,0.027661382926619876,10.0,0.08409884753795732,inf,inf,inf,inf,inf,False,inf,1236.6979732513428,0.0,1738
19,-0.2416680734645185,0.01507842781502881,3.996485236971233,1.6913499848777866,-3.8566628787453983,3.788604043682719,-0.7346048133283476,inf,inf,inf,inf,inf,False,inf,1302.0990722179413,0.0,1828
20,0.07439162992074182,0.009139901826469428,1.6777853766410376,0.8259455861360868,0.28647253815397683,0.7785314981682161,0.1356169503270267,10.135049475155734,0.1062639024305394,-0.014775458661247853,-0.0037625733310129306,20.488766128039458,False,0.013775458661247852,1367.8424944877625,156.68511182934085,1918
21,0.05744379504124967,0.009328033201217851,2.0733340666266646,0.8949559396305391,0.032631348056818665,0.7232747001706974,0.0633380369623288,11.41389636531042,0.09831936295473157,0.0036392779267799824,-0.04405153138414519,20.456307067553208,False,0.04305153138414519,1424.9267563819885,197.99603485909046,1994
22,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,inf,inf,inf,inf,inf,False,inf,1482.4142775535583,0.0,2070
23,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,inf,inf,inf,inf,inf,False,inf,1631.945121049881,0.0,2292
