SLSQPiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
23,-9.240763666848741,10.0,9.316721349773056,14.731232188727647,0.3483223597060489,0.0002642399391911132,False,0.2483223597060489,303.40071988105774,20.870868297622682,476
24,-8.264336352373812,9.999997647826309,9.158041511842896,4.675214429887687,0.08165837921943189,-8.533890327733218e-08,True,0.0,321.51654148101807,5.712400626084823,507
25,-8.031851015316775,10.0,9.128167537778966,3.563697174381976,0.04701343955462213,3.1513507359193227e-09,True,0.0,339.69867157936096,6.0772558899233475,538
26,-9.24315539653023,9.999999996983155,8.746389008185961,inf,0.6587473099386258,inf,False,inf,356.01794934272766,inf,565
27,-9.241745556199069,10.0,8.496241553472746,inf,4.994256266076723,inf,False,inf,374.54883313179016,inf,596
28,-9.246169982478726,10.0,8.455959446319133,inf,7.2538314276016695,inf,False,inf,394.33349108695984,inf,631
29,-10.0,10.0,6.527444322330704,inf,inf,inf,False,inf,414.328688621521,0.0,666
30,6.027839117725412,0.9619843768147991,-9.999999540663163,inf,inf,inf,False,inf,436.5242671966553,0.0,705
31,6.015116874629671,0.882002717891659,-9.999433809784065,inf,inf,inf,False,inf,452.8228118419647,0.0,732
32,6.188129433898491,0.7199829095991728,-9.999999999999998,inf,inf,inf,False,inf,468.95281076431274,0.0,759
33,6.085493686874367,0.9468119563191753,-9.999999999999998,inf,inf,inf,False,inf,486.97761845588684,0.0,790
34,-10.0,10.0,10.0,24.787853108839027,0.4768264273758181,-0.001556189363069116,False,0.37682642737581806,505.3846230506897,37.25406540604379,821
35,-8.222949182141402,9.558678293249503,7.755113600066574,inf,0.47142797712268114,inf,False,inf,536.6066439151764,inf,879
36,-8.445694055420084,9.999999999999993,6.5648509627295555,inf,inf,inf,False,inf,554.7788822650909,0.0,910
37,-7.34030437637378,9.591606230926237,8.341747994300633,3.3947410035378107,0.020912757579384357,-4.624120419904898e-09,True,0.0,572.8870108127594,4.912041771306071,941
38,-7.347579363257317,10.0,7.532928815448912,7.321733554201113,0.16553001137725157,5.960329675369636e-07,False,0.06553001137725156,589.5326731204987,13.825724609351232,968
39,-7.081427858445294,9.999999999999993,6.277422785724349,inf,0.5520259643944999,inf,False,inf,607.6158165931702,inf,999
40,-6.87267987584523,9.999999999998957,5.364798883950151,inf,0.11,inf,False,inf,625.6512043476105,0.0,1030
41,-6.786524924904916,9.999999999842267,5.028311146844393,inf,inf,inf,False,inf,645.528326511383,0.0,1065
42,-6.766342767939036,9.999999807986589,4.9699156614536655,inf,inf,inf,False,inf,667.202935218811,0.0,1104
43,-7.2290738239338435,9.391659674855385,8.422290494988747,3.2812324352631714,0.009948431226685131,1.0009578721437151e-09,True,0.0,689.1191773414612,3.8628414690432114,1143
44,-7.280101295744077,9.438340329563603,8.503693577311084,1.6162924520937405,0.011067680626231424,1.0059404420559304e-09,True,0.0,698.2338819503784,2.9332859413116563,1155
