kp,ki,kd,Ts,M,SSe,SSe_abs
0.5,0.4999999999,0.5,22.327610901352596,0.01636730677823724,0.15499851928607955,0.15499851928607955
0.5,0.4999999999020202,0.5,22.327610901347214,0.016367306778168358,0.15499851928500596,0.15499851928500596
0.5,0.4999999999040404,0.5,22.32761090134166,0.016367306778090507,0.1549985192839307,0.1549985192839307
0.5,0.4999999999060606,0.5,22.327610901336257,0.01636730677801762,0.15499851928286734,0.15499851928286734
0.5,0.4999999999080808,0.5,22.327610901330445,0.01636730677794951,0.15499851928179964,0.15499851928179964
0.5,0.499999999910101,0.5,22.32761090132493,0.016367306777876605,0.15499851928072206,0.15499851928072206
0.5,0.4999999999121212,0.5,22.327610901319478,0.01636730677780047,0.1549985192796539,0.1549985192796539
0.5,0.4999999999141414,0.5,22.32761090131393,0.016367306777729403,0.15499851927858288,0.15499851927858288
0.5,0.4999999999161616,0.5,22.327610901308375,0.016367306777659782,0.15499851927751862,0.15499851927751862
0.5,0.49999999991818184,0.5,22.32761090130274,0.016367306777583995,0.15499851927644137,0.15499851927644137
0.5,0.499999999920202,0.5,22.327610901297202,0.01636730677751121,0.15499851927536978,0.15499851927536978
0.5,0.4999999999222222,0.5,22.327610901291553,0.016367306777439115,0.15499851927429986,0.15499851927429986
0.5,0.49999999992424243,0.5,22.327610901286228,0.01636730677736973,0.15499851927324093,0.15499851927324093
0.5,0.49999999992626265,0.5,22.327610901280725,0.016367306777294133,0.15499851927216002,0.15499851927216002
0.5,0.4999999999282828,0.5,22.327610901274927,0.0163673067772193,0.15499851927108443,0.15499851927108443
0.5,0.49999999993030303,0.5,22.327610901269278,0.01636730677714896,0.15499851927001695,0.15499851927001695
0.5,0.49999999993232325,0.5,22.327610901263878,0.01636730677707627,0.15499851926895025,0.15499851926895025
0.5,0.4999999999343434,0.5,22.327610901258616,0.016367306777006412,0.15499851926788055,0.15499851926788055
0.5,0.4999999999363636,0.5,22.327610901252708,0.016367306776930705,0.15499851926680752,0.15499851926680752
0.5,0.49999999993838384,0.5,22.327610901247084,0.016367306776857687,0.15499851926573738,0.15499851926573738
0.5,0.49999999994040406,0.5,22.32761090124168,0.016367306776786675,0.15499851926466923,0.15499851926466923
0.5,0.4999999999424242,0.5,22.327610901236383,0.016367306776716568,0.1549985192636002,0.1549985192636002
0.5,0.49999999994444444,0.5,22.327610901230468,0.01636730677663933,0.15499851926252273,0.15499851926252273
0.5,0.49999999994646466,0.5,22.32761090122493,0.016367306776567173,0.15499851926145636,0.15499851926145636
0.5,0.4999999999484849,0.5,22.327610901219494,0.016367306776496237,0.15499851926038521,0.15499851926038521
0.5,0.49999999995050504,0.5,22.32761090121405,0.016367306776428645,0.1549985192593173,0.1549985192593173
0.5,0.49999999995252525,0.5,22.32761090120836,0.01636730677635004,0.1549985192582437,0.1549985192582437
0.5,0.49999999995454547,0.5,22.32761090120266,0.01636730677627604,0.15499851925717045,0.15499851925717045
0.5,0.49999999995656563,0.5,22.32761090119727,0.016367306776206573,0.15499851925610053,0.15499851925610053
0.5,0.49999999995858585,0.5,22.32761090119166,0.01636730677613806,0.1549985192550326,0.1549985192550326
0.5,0.49999999996060607,0.5,22.327610901186198,0.016367306776060346,0.15499851925396435,0.15499851925396435
0.5,0.4999999999626263,0.5,22.32761090118051,0.016367306775988612,0.15499851925289276,0.15499851925289276
0.5,0.49999999996464645,0.5,22.327610901175156,0.01636730677591363,0.1549985192518163,0.1549985192518163
0.5,0.49999999996666666,0.5,22.32761090116955,0.016367306775846375,0.15499851925075214,0.15499851925075214
0.5,0.4999999999686869,0.5,22.32761090116403,0.016367306775769763,0.15499851924968644,0.15499851924968644
0.5,0.49999999997070704,0.5,22.32761090115831,0.016367306775695988,0.1549985192486112,0.1549985192486112
0.5,0.49999999997272726,0.5,22.327610901152806,0.0163673067756265,0.1549985192475335,0.1549985192475335
0.5,0.4999999999747475,0.5,22.327610901147285,0.016367306775555562,0.15499851924646924,0.15499851924646924
0.5,0.4999999999767677,0.5,22.3276109011418,0.01636730677547879,0.15499851924540198,0.15499851924540198
0.5,0.49999999997878786,0.5,22.327610901136,0.016367306775406622,0.1549985192443284,0.1549985192443284
0.5,0.4999999999808081,0.5,22.327610901130523,0.016367306775337622,0.15499851924325558,0.15499851924325558
0.5,0.4999999999828283,0.5,22.327610901124896,0.01636730677526562,0.15499851924218377,0.15499851924218377
0.5,0.4999999999848485,0.5,22.327610901119563,0.016367306775187728,0.15499851924111974,0.15499851924111974
0.5,0.49999999998686867,0.5,22.327610901113964,0.016367306775117958,0.15499851924004793,0.15499851924004793
0.5,0.4999999999888889,0.5,22.327610901108496,0.016367306775048895,0.15499851923897168,0.15499851923897168
0.5,0.4999999999909091,0.5,22.327610901102855,0.016367306774971814,0.1549985192379023,0.1549985192379023
0.5,0.49999999999292927,0.5,22.32761090109716,0.016367306774898352,0.15499851923683639,0.15499851923683639
0.5,0.4999999999949495,0.5,22.327610901091745,0.01636730677482782,0.15499851923576602,0.15499851923576602
0.5,0.4999999999969697,0.5,22.327610901086146,0.01636730677475471,0.1549985192346911,0.1549985192346911
0.5,0.4999999999989899,0.5,22.32761090108056,0.01636730677468449,0.15499851923362296,0.15499851923362296
0.5,0.5000000000010101,0.5,22.327610901074767,0.01636730677461035,0.15499851923255614,0.15499851923255614
0.5,0.5000000000030304,0.5,22.327610901069736,0.01636730677453701,0.1549985192314831,0.1549985192314831
0.5,0.5000000000050505,0.5,22.32761090106386,0.016367306774466548,0.1549985192304093,0.1549985192304093
