kp,ki,kd,Ts,M,SSe,SSe_abs
0.5,0.5,0.4999999999,22.32761090107565,0.0163673067746217,0.15499851923304053,0.15499851923304053
0.5,0.5,0.4999999999020202,22.32761090107568,0.016367306774622125,0.15499851923304198,0.15499851923304198
0.5,0.5,0.4999999999040404,22.327610901075758,0.016367306774622666,0.15499851923304286,0.15499851923304286
0.5,0.5,0.4999999999060606,22.32761090107581,0.016367306774623475,0.15499851923304375,0.15499851923304375
0.5,0.5,0.4999999999080808,22.327610901075857,0.016367306774623884,0.15499851923304464,0.15499851923304464
0.5,0.5,0.499999999910101,22.327610901075875,0.016367306774623894,0.1549985192330452,0.1549985192330452
0.5,0.5,0.4999999999121212,22.327610901075893,0.016367306774624602,0.15499851923304775,0.15499851923304775
0.5,0.5,0.4999999999141414,22.327610901075946,0.016367306774625025,0.1549985192330492,0.1549985192330492
0.5,0.5,0.4999999999161616,22.327610901075975,0.01636730677462556,0.15499851923304975,0.15499851923304975
0.5,0.5,0.49999999991818184,22.327610901076024,0.01636730677462571,0.15499851923305064,0.15499851923305064
0.5,0.5,0.499999999920202,22.32761090107606,0.016367306774626243,0.15499851923305108,0.15499851923305108
0.5,0.5,0.4999999999222222,22.327610901076113,0.016367306774626257,0.15499851923305175,0.15499851923305175
0.5,0.5,0.49999999992424243,22.32761090107617,0.016367306774626666,0.15499851923305263,0.15499851923305263
0.5,0.5,0.49999999992626265,22.327610901076152,0.016367306774627353,0.1549985192330542,0.1549985192330542
0.5,0.5,0.4999999999282828,22.327610901076177,0.016367306774628304,0.15499851923305574,0.15499851923305574
0.5,0.5,0.49999999993030303,22.327610901076216,0.01636730677462858,0.15499851923305652,0.15499851923305652
0.5,0.5,0.49999999993232325,22.327610901076266,0.016367306774629786,0.15499851923305763,0.15499851923305763
0.5,0.5,0.4999999999343434,22.32761090107632,0.016367306774630056,0.15499851923305796,0.15499851923305796
0.5,0.5,0.4999999999363636,22.327610901076348,0.01636730677463059,0.15499851923305852,0.15499851923305852
0.5,0.5,0.49999999993838384,22.327610901076408,0.01636730677463101,0.15499851923305974,0.15499851923305974
0.5,0.5,0.49999999994040406,22.32761090107644,0.016367306774631676,0.15499851923306018,0.15499851923306018
0.5,0.5,0.4999999999424242,22.327610901076444,0.016367306774631687,0.15499851923306085,0.15499851923306085
0.5,0.5,0.49999999994444444,22.327610901076508,0.016367306774632263,0.1549985192330634,0.1549985192330634
0.5,0.5,0.49999999994646466,22.327610901076568,0.01636730677463254,0.15499851923306418,0.15499851923306418
0.5,0.5,0.4999999999484849,22.32761090107656,0.01636730677463335,0.1549985192330653,0.1549985192330653
0.5,0.5,0.49999999995050504,22.32761090107664,0.016367306774633755,0.15499851923306573,0.15499851923306573
0.5,0.5,0.49999999995252525,22.327610901076696,0.01636730677463431,0.1549985192330673,0.1549985192330673
0.5,0.5,0.49999999995454547,22.327610901076763,0.016367306774635115,0.1549985192330683,0.1549985192330683
0.5,0.5,0.49999999995656563,22.327610901076817,0.016367306774635538,0.15499851923306962,0.15499851923306962
0.5,0.5,0.49999999995858585,22.32761090107688,0.016367306774636214,0.15499851923307073,0.15499851923307073
0.5,0.5,0.49999999996060607,22.327610901076905,0.016367306774636638,0.15499851923307228,0.15499851923307228
0.5,0.5,0.4999999999626263,22.327610901076934,0.016367306774637054,0.15499851923307328,0.15499851923307328
0.5,0.5,0.49999999996464645,22.327610901076998,0.016367306774637328,0.15499851923307395,0.15499851923307395
0.5,0.5,0.49999999996666666,22.327610901077023,0.016367306774637734,0.1549985192330745,0.1549985192330745
0.5,0.5,0.4999999999686869,22.327610901077055,0.01636730677463801,0.1549985192330754,0.1549985192330754
0.5,0.5,0.49999999997070704,22.327610901077083,0.01636730677463908,0.15499851923307628,0.15499851923307628
0.5,0.5,0.49999999997272726,22.327610901077154,0.01636730677463976,0.1549985192330774,0.1549985192330774
0.5,0.5,0.4999999999747475,22.32761090107719,0.01636730677464042,0.15499851923307761,0.15499851923307761
0.5,0.5,0.4999999999767677,22.327610901077225,0.01636730677464097,0.15499851923307884,0.15499851923307884
0.5,0.5,0.49999999997878786,22.327610901077303,0.016367306774641648,0.15499851923307983,0.15499851923307983
0.5,0.5,0.4999999999808081,22.327610901077396,0.016367306774641807,0.15499851923308128,0.15499851923308128
0.5,0.5,0.4999999999828283,22.327610901077417,0.016367306774641942,0.1549985192330816,0.1549985192330816
0.5,0.5,0.4999999999848485,22.32761090107748,0.016367306774643146,0.15499851923308272,0.15499851923308272
0.5,0.5,0.49999999998686867,22.32761090107751,0.016367306774643684,0.15499851923308328,0.15499851923308328
0.5,0.5,0.4999999999888889,22.327610901077566,0.01636730677464384,0.1549985192330845,0.1549985192330845
0.5,0.5,0.4999999999909091,22.32761090107764,0.016367306774644118,0.15499851923308539,0.15499851923308539
0.5,0.5,0.49999999999292927,22.327610901077648,0.01636730677464466,0.15499851923308616,0.15499851923308616
0.5,0.5,0.4999999999949495,22.32761090107767,0.01636730677464494,0.15499851923308705,0.15499851923308705
0.5,0.5,0.4999999999969697,22.327610901077684,0.016367306774645613,0.15499851923308794,0.15499851923308794
0.5,0.5,0.4999999999989899,22.327610901077765,0.016367306774645898,0.15499851923308905,0.15499851923308905
0.5,0.5,0.5000000000010101,22.32761090107781,0.016367306774645915,0.15499851923308994,0.15499851923308994
0.5,0.5,0.5000000000030304,22.32761090107786,0.01636730677464673,0.15499851923309127,0.15499851923309127
0.5,0.5,0.5000000000050505,22.32761090107789,0.016367306774647025,0.15499851923309294,0.15499851923309294
