Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,M_h,SSe_h_abs,vmax,SSe_V_abs
0.039999,0.01,2.0,0.6,0.25,0.3,0.08,0.14587631537148027,0.0029558927649588895,20.886038836913755,0.00033654453876152957
0.039999040816326534,0.01,2.0,0.6,0.25,0.3,0.08,0.14587620565257794,0.0029559140639179304,20.88603914183979,0.00033654359702950387
0.03999908163265306,0.01,2.0,0.6,0.25,0.3,0.08,0.1458760959339314,0.002955935363004869,20.886039446762332,0.0003365426552477402
0.039999122448979595,0.01,2.0,0.6,0.25,0.3,0.08,0.14587598621556164,0.002955956661651271,20.886039751681228,0.0003365417135405835
0.03999916326530612,0.01,2.0,0.6,0.25,0.3,0.08,0.14587587649737188,0.0029559779605534686,20.886040056596496,0.0003365407717907942
0.039999204081632656,0.01,2.0,0.6,0.25,0.3,0.08,0.14587577579014158,0.00295591726167288,20.886040361508257,0.00033656412906779565
0.03999924489795918,0.01,2.0,0.6,0.25,0.3,0.08,0.14587565704137584,0.0029560205575762666,20.886040666416356,0.00033653888853635294
0.039999285714285716,0.01,2.0,0.6,0.25,0.3,0.08,0.14587554723508248,0.0029560418558673973,20.88604097132093,0.0003365379468718288
0.03999932653061224,0.01,2.0,0.6,0.25,0.3,0.08,0.14587543742904202,0.0029560631541869498,20.886041276222,0.0003365370052357264
0.03999936734693878,0.01,2.0,0.6,0.25,0.3,0.08,0.14587533690961624,0.0029560024552068853,20.88604158111932,0.0003365603619442936
0.039999408163265304,0.01,2.0,0.6,0.25,0.3,0.08,0.14587521781766977,0.0029561057503570964,20.886041886013142,0.0003365351221589208
0.03999944897959184,0.01,2.0,0.6,0.25,0.3,0.08,0.14587510801233997,0.002956127048264534,20.88604219090329,0.0003365341806151889
0.039999489795918365,0.01,2.0,0.6,0.25,0.3,0.08,0.14587499820730804,0.002956148345944598,20.886042495789972,0.0003365332391602749
0.0399995306122449,0.01,2.0,0.6,0.25,0.3,0.08,0.1458748884024781,0.002956169643638873,20.886042800672968,0.0003365322977089136
0.039999571428571426,0.01,2.0,0.6,0.25,0.3,0.08,0.14587477859791487,0.002956190941389991,20.886043105552485,0.0003365313561332073
0.03999961224489796,0.01,2.0,0.6,0.25,0.3,0.08,0.14587466879359598,0.002956212238686362,20.886043410428332,0.0003365304147671111
0.039999653061224494,0.01,2.0,0.6,0.25,0.3,0.08,0.1458745589895333,0.002956233535982733,20.88604371530058,0.00033652947339035677
0.03999969387755102,0.01,2.0,0.6,0.25,0.3,0.08,0.14587444918567524,0.0029562548333075256,20.88604402016926,0.0003365285319709699
0.039999734693877555,0.01,2.0,0.6,0.25,0.3,0.08,0.1458743393820738,0.0029562761306038965,20.886044325034305,0.000336527590601321
0.03999977551020408,0.01,2.0,0.6,0.25,0.3,0.08,0.14587422957876947,0.002956297427431309,20.886044629895853,0.00033652664932404264
0.039999816326530616,0.01,2.0,0.6,0.25,0.3,0.08,0.1458741197756984,0.0029563187242729327,20.886044934753798,0.0003365257079970263
0.03999985714285714,0.01,2.0,0.6,0.25,0.3,0.08,0.1458740099728596,0.0029563400210008695,20.886045239608134,0.0003365247667339588
0.039999897959183676,0.01,2.0,0.6,0.25,0.3,0.08,0.14587390017027718,0.0029563613177145953,20.88604554445894,0.0003365238254637859
0.0399999387755102,0.01,2.0,0.6,0.25,0.3,0.08,0.14587379036792603,0.0029563826142862126,20.886045849306075,0.00033652288424335097
0.03999997959183674,0.01,2.0,0.6,0.25,0.3,0.08,0.14587368056585853,0.0029564039106304563,20.886046154149668,0.00033652194305133776
0.040000020408163264,0.01,2.0,0.6,0.25,0.3,0.08,0.14587357076396867,0.0029564252070031216,20.886046458989583,0.00033652100188774625
0.0400000612244898,0.01,2.0,0.6,0.25,0.3,0.08,0.1458734609623693,0.002956446503361576,20.886046763826073,0.00033652006069573304
0.040000102040816325,0.01,2.0,0.6,0.25,0.3,0.08,0.1458733511610366,0.002956467799293705,20.886047068658883,0.0003365191195996431
0.04000014285714286,0.01,2.0,0.6,0.25,0.3,0.08,0.14587324135995322,0.002956489095211623,20.886047373488104,0.00033651817848223686
0.040000183673469386,0.01,2.0,0.6,0.25,0.3,0.08,0.14587313155913312,0.002956510391030065,20.88604767831382,0.00033651723746785933
0.04000022448979592,0.01,2.0,0.6,0.25,0.3,0.08,0.145873031296799,0.002956449691140506,20.88604798313582,0.0003365405913271502
0.04000026530612245,0.01,2.0,0.6,0.25,0.3,0.08,0.14587292149363532,0.002956470986632098,20.886048287954313,0.00033653965020619125
0.04000030612244898,0.01,2.0,0.6,0.25,0.3,0.08,0.14587281169067626,0.0029564922822515882,20.88604859276918,0.0003365387090070726
0.04000034693877551,0.01,2.0,0.6,0.25,0.3,0.08,0.14587270188794074,0.0029565135777716023,20.886048897580427,0.0003365377678967718
0.04000038775510204,0.01,2.0,0.6,0.25,0.3,0.08,0.1458725920854854,0.0029565348731068752,20.88604920238818,0.00033653682674383845
0.040000428571428576,0.01,2.0,0.6,0.25,0.3,0.08,0.14587248228331656,0.0029565561682147745,20.88604950719233,0.0003365358857294609
0.0400004693877551,0.01,2.0,0.6,0.25,0.3,0.08,0.14587237248135396,0.0029565774634363606,20.886049811992894,0.0003365349446475818
0.04000051020408164,0.01,2.0,0.6,0.25,0.3,0.08,0.14587226267963488,0.002956598758260043,20.88605011678982,0.000336534003686495
0.040000551020408164,0.01,2.0,0.6,0.25,0.3,0.08,0.14587215287816924,0.002956620053367942,20.886050421583235,0.0003365330626010632
0.0400005918367347,0.01,2.0,0.6,0.25,0.3,0.08,0.14587204307695079,0.00295664134812057,20.886050726373004,0.0003365321216435291
0.040000632653061224,0.01,2.0,0.6,0.25,0.3,0.08,0.14587193327601783,0.0029566626425179265,20.88605103115922,0.0003365311806966531
0.04000067346938776,0.01,2.0,0.6,0.25,0.3,0.08,0.14587182347530472,0.0029566839369721265,20.886051335941843,0.00033653023979951513
0.040000714285714285,0.01,2.0,0.6,0.25,0.3,0.08,0.14587171367481003,0.002956705231582646,20.886051640720876,0.0003365292988597446
0.04000075510204082,0.01,2.0,0.6,0.25,0.3,0.08,0.14587160387457931,0.0029567265258521047,20.88605194549626,0.0003365283579910283
0.040000795918367346,0.01,2.0,0.6,0.25,0.3,0.08,0.14587149407462288,0.0029567478199510333,20.88605225026817,0.0003365274171613919
0.04000083673469388,0.01,2.0,0.6,0.25,0.3,0.08,0.14587138427488838,0.0029567691140641728,20.886052555036528,0.0003365264763424136
0.04000087755102041,0.01,2.0,0.6,0.25,0.3,0.08,0.14587127447539264,0.002956790408006782,20.886052859801097,0.0003365255355340935
0.04000091836734694,0.01,2.0,0.6,0.25,0.3,0.08,0.1458711646761793,0.0029568117018072826,20.886053164562206,0.00033652459477906405
0.04000095918367347,0.01,2.0,0.6,0.25,0.3,0.08,0.14587105487719826,0.0029568329954940964,20.886053469319794,0.00033652365403469275
0.040001,0.01,2.0,0.6,0.25,0.3,0.08,0.14587094507844073,0.0029568542890814342,20.886053774073627,0.0003365227133009796
