SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
10,0.07379423869107646,0.006256375586167215,4.5606815574163555,2.007345163883743,-9.997085948963566,0.7730893051823722,1.9918855058206886,inf,inf,inf,inf,inf,False,inf,2095.9489753246307,0.0,759
11,0.03612384256494687,0.0018260487577869775,6.620342048957362,0.27462823214356225,-10.0,0.9373139646800203,2.760192649690878,inf,inf,inf,inf,inf,False,inf,2307.582654953003,inf,835
12,0.39909026298016576,-0.01757553998106664,7.08978712239373,3.4560387957278964,2.5458046898916367,1.2893187448549106,10.0,inf,inf,inf,inf,inf,False,inf,2516.9836699962616,inf,911
13,-0.2770427276445916,0.10809219580451102,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,False,inf,2852.3626034259796,0.0,1043
14,-0.7459652459034364,0.03133225701646182,-2.62533817658679,6.605331310451207,4.054181770276907,9.999999321642168,-6.022440149105326,inf,inf,inf,inf,inf,False,inf,3187.732033252716,0.0,1175
15,0.05974381928927641,0.006227027083406904,0.8980209191161523,1.7735732360372731,-1.6759487846715397,0.496813813285233,0.9543012511182106,inf,inf,inf,inf,inf,False,inf,3524.325756788254,inf,1307
16,-0.11006773952383357,0.0067696061653928045,0.0165380851864545,2.168129527018676,-2.759140892527682,0.40489357963831957,1.6122068852705453,inf,inf,inf,inf,inf,False,inf,3749.0536816120148,0.0,1390
17,-1.225062156982793,0.0037843076935821134,-5.620924708698707,2.132225070339047,-10.0,-0.17786478820786794,8.388881840164267,inf,inf,inf,inf,inf,False,inf,4005.649031162262,0.0,1487
18,0.06682751650292883,0.007475392744350985,1.1621875466197482,2.004327563796285,-1.3283000446693838,0.4950236461229743,0.4561323398769853,15.102399056283737,0.1780759254055088,-0.0006271328679758881,0.00013174748259103808,21.706433429541605,False,0.07807592540550878,4278.921637058258,277.3623896130398,1591
19,-0.08948180055917161,0.03379908490840801,1.3921272497993868,1.858768961998774,-1.1404825253568023,9.999999999921833,0.5425875205030541,inf,inf,inf,inf,inf,False,inf,4505.94935464859,0.0,1674
20,-0.36623553313772955,0.1147383549305005,7.031492441840651,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,False,inf,4845.113333702087,0.0,1806
21,-0.16344600868710607,-0.06486048896594748,10.0,-4.306355498366393,10.0,9.999999818778708,-6.25986882239871,inf,inf,inf,inf,inf,False,inf,5184.175109863281,inf,1938
22,0.09925049548351875,-0.01097227177985289,-2.2708655610967092,0.36440005126757913,-7.010843011392615,9.99999999985239,-1.5554918604679644,inf,inf,inf,inf,inf,False,inf,5520.850276470184,inf,2070
23,-0.5821075959595239,0.04350372234763903,-2.487880742109323,9.999986792656442,-7.1698074406213514,10.0,-10.0,27.43298614187678,1.1444064396802764,78.98786953480139,5.822868980346335,28.21203278487313,False,78.98686953480139,5745.788269996643,7.479779915503579,2153
24,0.02536968110677668,-0.013933467143955212,-2.63492657658393,-1.9238712839380145,-6.646292380360167,9.999999999963606,0.4801109947248706,inf,inf,inf,inf,inf,False,inf,6082.608442544937,0.0,2285
